OBJECTID,SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
4862,5589    0800,1,1,C,Brick/Concr,30,Average,BR,Brick,20,,1900-01-01T00:00:00.000Z,,U,1959,,1982,1,2996,81,2568,2018-09-17T09:53:41.000Z
4863,5592    0037,1,1,C,Brick/Concr,30,Average,BR,Brick,9,13,2009-12-28T00:00:00.000Z,1650000,U,1951,2014,1960,1,7920,21,6863,2018-09-17T09:53:41.000Z
4864,5592    0805,1,1,C,Brick/Concr,30,Average,BR,Brick,9,6,2016-11-07T00:00:00.000Z,0,U,1937,,1965,3,4564,21,5050,2018-09-17T09:53:41.000Z
4865,5593    0005,1,1,C,Brick/Concr,30,Average,BR,Brick,9,10,2012-04-02T00:00:00.000Z,0,U,1936,2011,1960,1,8644,21,5506,2018-09-17T09:53:41.000Z
4866,5594    0033,1,1,C,Brick/Concr,40,Good,BR,Brick,8,23,1900-01-01T00:00:00.000Z,,U,1967,1985,1967,1,13548,21,7564,2018-09-17T09:53:41.000Z
4867,5594    0821,1,1,C,Brick/Concr,30,Average,BR,Brick,9,15,2015-10-09T00:00:00.000Z,1075000,Q,1938,,1972,4,11688,21,5725,2018-09-17T09:53:41.000Z
4868,5596    0005,1,1,C,Brick/Concr,40,Good,BR,Brick,8,6,2014-11-04T00:00:00.000Z,420000,Q,1938,2017,1982,6,5040,21,3400,2018-09-17T09:53:41.000Z
4869,5596    0036,1,1,C,Brick/Concr,30,Average,BR,Brick,9,6,2015-12-28T00:00:00.000Z,340000,U,1938,2017,1970,2,5100,21,2983,2018-09-17T09:53:41.000Z
4870,5596    0043,1,1,C,Brick/Concr,30,Average,BR,Brick,8,6,2018-02-06T00:00:00.000Z,633500,U,1941,,1960,2,4995,21,3581,2018-09-17T09:53:41.000Z
4871,5596    0044,1,1,C,Brick/Concr,30,Average,BR,Brick,8,24,1900-01-01T00:00:00.000Z,,U,1968,1985,1957,1,13358,21,7959,2018-09-17T09:53:41.000Z
